mcc,mcc_description,mcc_segment,mcc_segment_description
3015,SWISSAIR,1,Airlines
3021,AIR ALGERIE,1,Airlines
3231,SASHA SERVICIO AERO DE HONDURAS,1,Airlines
3034,AUSTRAINLIAN AIRLINES,1,Airlines
3172,NATIONAIR,1,Airlines
3266,AIR SEYCHELLES,1,Airlines
3040,GULF AIR (BAHRAIN),1,Airlines
3010,KLM (ROYAL DUTCH AIRLINES),1,Airlines
3100,MALAYSIAN AIRLINE SYSTEM,1,Airlines
3135,SUDAN AIRWAYS,1,Airlines
3106,BRAATHENS S.A.F.E. (NORWAY),1,Airlines
3184,LIAT,1,Airlines
3267,AIR PANAMA,1,Airlines
3298,AIR MAURITIUS,1,Airlines
3024,PAKISTAN INTERNATIONAL,1,Airlines
3035,TAP (PORTUGAL),1,Airlines
3022,PHILIPPINE AIRLINES,1,Airlines
3012,QUANTAS,1,Airlines
3186,LAP (PARAGUAY),1,Airlines
3187,LACSA (COSTA RICA),1,Airlines
3235,BROKWAY AIR,1,Airlines
3254,TRUMP AIRLINE,1,Airlines
3017,SOUTH AFRICAN AIRWAYS,1,Airlines
3024,PAKISTAN INTERNATIONAL,1,Airlines
3102,IBERIA,1,Airlines
3018,VARIG (BRAZIL),1,Airlines
3043,AER LINGUS,1,Airlines
3041,BALKAN-BULGARIAN AIRLINES,1,Airlines
3031,OLYMPIC AIRWAYS,1,Airlines
3170,NOUNT COOK,1,Airlines
3191,ISLAND AIRLINES,1,Airlines
3251,ALOHA AIRLINES,1,Airlines
3282,AIR DJIBOUTI,1,Airlines
3007,AIR FRANCE,1,Airlines
3028,AIR MALTA,1,Airlines
3037,EGYPTAIR,1,Airlines
3103,GARUDA (INDONESIA),1,Airlines
3161,ALL NIPPON AIRWAYS,1,Airlines
3145,SAN JUAN AIRLINES,1,Airlines
3165,NEW YORK HELICOPTER,1,Airlines
3203,GOLDEN PACIFIC AIR,1,Airlines
3212,DOMINICANA,1,Airlines
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS,1,Airlines
3011,AEORFLOT,1,Airlines
3032,EL AL,1,Airlines
3030,AEROLINEAS ARGENTINAS,1,Airlines
3033,ANSETT AIRLINES,1,Airlines
3027,UTA/INTERAIR,1,Airlines
3234,BWIA,1,Airlines
3233,CAPITOL AIR,1,Airlines
3285,AERO PERU,1,Airlines
3013,ALITALIA,1,Airlines
3001,AMERICAN AIRLINES,1,Airlines
3039,AVIANCA,1,Airlines
3018,VARIG (BRAZIL),1,Airlines
3222,COMMAND AIRWAYS,1,Airlines
3006,JAPAN AIRLINES,1,Airlines
3028,AIR MALTA,1,Airlines
3004,TRANS WORLD AIRLINES,1,Airlines
3012,QUANTAS,1,Airlines
3014,SAUDIA ARABIAN AIRLINES,1,Airlines
3030,AEROLINEAS ARGENTINAS,1,Airlines
3137,SINGLETON,1,Airlines
3193,INDIAN AIRLINES,1,Airlines
3185,LAV (VENEZUELA),1,Airlines
3215,DAN AIR SERVICES,1,Airlines
3223,COMAIR,1,Airlines
3239,BAR HARBOR AIRLINES,1,Airlines
3261,AIR CHINA,1,Airlines
3295,KENYA AIRLINES,1,Airlines
3000,UNITED AIRLINES,1,Airlines
3117,VIASA,1,Airlines
3178,MESA AIR,1,Airlines
3010,KLM (ROYAL DUTCH AIRLINES),1,Airlines
3027,UTA/INTERAIR,1,Airlines
3129,SURINAM AIRWAYS,1,Airlines
3192,IRAN AIR,1,Airlines
