mcc_description,mcc_segment
03122 jewel,
abc*anytime fitness,3
abc*club fitness,3
abc*golds gym,3
abc*planet fitness,3
abc*retro fitness,3
act ymca,3
advanced disposal,27
aetna health managemen,24
aetna medicare,24
affinity health plan,24
affinity sports llc,8
ahec parking services,26
airbnb,15
airport parking,26
alaska air in flight,1
aliexpress,28
all seasons inn & suites,15
allegnt buyonboard,
altus dental insur,
amazon digital service,
amazon pay,
amazon services-kindle,
amazon video on demand,
amazon web services,24
amazon.com,
american water enterpr,
americas best value inn,
amerigas,
ameriwaste inc,
apartment owners assoc,
aramark lincoln financial,
arkansas.gov pymnt,
asta parking,
at&t,
athena parking,
audible,
audiobooks.com,
bailey's gym- cor,
bart-clipper fremont,
bath & body works 3147,
bayer animal health,
baymont inn and suites ma,
bear printing,20
bend la pine schools,10
benevity online donations,
best western inn,
bestbuyapplecare,
bethpage golf group,
blue apron order,
blue water direct inc,
bluemont hotel,15
bmw na llc,
boarders inn & suites,
brookstone lodge & sui,15
c&c liquor commi,
calvert county public,
campus tutoring servic,
carolina panthers co,
cartoon carwash,
chatbooks,
chaturbill.com,
child care resource,
chuck e cheese  305,
cigna pharm of pa,
cintas  287,
city sports club,
classic school portraits,
cna insurance companies,
comfort inn and suites,
corelogic,
corporate traveler,
corvette diner,
costco online rx,
costco whse #0310,
country club cleaners,
country inn and suit,
cox farms,
credit monitor 8663116,
credit plus,
inc.,
creditrepair,
cricket wireless,
ct dmv web transaction,
cty of miami beach prk,
dave & busters #51,
days inn  suites,
dcra online payments,
dealer car search,
delta dental of michigan,
dmv website,
dunkindonuts.com,
eagle properties ltd,
elf cosmetics,
ez car wash ev,
fanball,
fidelity national home,
first amer home buyer,
first united america,
firstadvantage,
fitness connection,
florida dept of state,
fry's electronics    #014,
gamestop.com/ebgames.com,
gillette stadium,2
global connections inc,
golden corral 07,22
golds gym,
good life usa llc,
google *big fish games,2
google *buffalostudios,2
google *camel games,2
google *cheetah,2
google *dhgames limite,2
google *epic war llc,2
google *epicactionllc,2
google *fantasy legend,2
google *flyingcok,2
google *google music,2
google *google play,2
google *heaventree,2
google *voice,2
green lantern car wash,
group photographers assoc,
gymboree.com 500,
h2o wireless,
hamilton co clerk,
hampton inn and suites st,
hellofresh.com 800-733-24,
hersheypark foods,2
hgtv magazine,
hilton garden inn shel,
hilton grand vac club,
hotel accommodations,15
hotel*reservations.com,
house of photography,
hyatt vacation managem,
identity guard,19
indianapolis zoo,
international fitness,
intuit *quickbooks se,
j crew,
jcpenney 2708,
jetblue inflight,
jfk international ai,
jiffy lube live,
kaiser mid-atlantic,
kaiser permanente,
kaiser permanente dues,
kalahari resorts,
kennedy center parking,
kings dominion p,
krispy kreme #993,
la quinta inns # 0574,
living hope international,
livingsocial inc,
localflavor.com,
loudoun county public sch,
loves travel stops #41,
mac cosmetics online,
macys  downey,
mall of america,
mcafee *www.mcafee.com,
megabus.com,
mgm grand - adv dep,
miami parking authorit,
michaels.com,
micro center,23
microsoft*xbox game pa,
motel 6,
msb henrico county sch,10
msb henrico county school,10
msb huntley consolidated,10
msb montgomery county,10
multiplex cinema,
muscle foods usa,
music & arts center #1,
myrtle beach travel pa,
national mall pa,
new york life insuranc,
nordstrom #0225,
office depot #161,
ohio health corporation,
ohv boat snow coparkiv,
omaha steaks,
onlineparkingpass,
onstar data plan - at&t,
onstar subscription,
oreilly auto #1368,
panda express,
parchment,
parking meters,
parkmobile,
paypal *apple inc,
paypal *bestbuy com,
paypal *dimeonline,
paypal *directrelif,
paypal *directtoull,
paypal *donation,
paypal *ebayincship,
paypal *estartradin,
paypal *giving fund,
paypal *groupon inc,
paypal *hotels.com,15
paypal *internetser,
paypal *microsoft xbox,
paypal *netwrk4good,
pennytalk,
players club,
playstation network,
pottery barn e-commerce,
printerpix.com,
quality inn roanoke,
races on line,
racewire.com,
ramada - ram 08255,
recreation.gov,
redweek.com,
resort casino,
rite aid store - 398,
rmv web transaction,
roblox.com 888-858-256,
rocky mountain atv-mc,
samsclub #8265,
school donation,
secretary of state,
sharp healthcare cc we,
sheraton seattle hotel,15
sherwin williams 70321,
shoes.com,
showcase cinemas,
silverscript insurance,
silverton hotel casino,15
six flags great escape,
speedline solutions in,
speedway 02344 16,
spring hill camps,
sprint wireless,
stamps.com,
staples 0223,23
state farm insurance,
stay suites of america o,
stripe.com,
stubhub,
inc.,
super 8 danville,15
t-mobile #4181,25
taxi.com,
teespring com,
the picture day,
the playlist generation,
the rose bowl,
tmobile*web upgrade,
totallegal.com,24
tournamenthotels.com,15
tractor supply co #704,
trashbilling.com cc,
travel guard group inc,
tropical smoothie cafe,
tropicana rooms,
trugreen    *lockbox,
udemy com,
ultra mobile,
unified parking,26
united games,
united healthcare part d,
united portraits,
unitedhealthcare,
us mobile,
usa*premier services vend,
usps kiosk 5440329550,
viking wash,
virgin america on board 2,
wal-mart check printng,
wal*mart family mobile,
wash time car wash,
weight watchers intl,
woodbury 10 theatre,
world gym,
worldmark the club,
www costco com,
www.michiganlottery.com,
www.newegg.com,
wyoming game and fish dep,
xsport norridge,
yard bright lighting,
ymca,
youcheckcredit.com,
young life,
zip reports,
